UrlOPC;Description;Mode;Outgoing Address;Format;Scale;Offset
GAR_ABT_RECOMP_DNP.EAF.ABT_LTLG2_KVCA.Value;GAR_ABT_RECOMP_DNP.EAF.ABT_LTLG2_KVCA;Write;GAR_ABT_RECOMP_DNP.EAF.ABT_LTLG2_KVCA.Value;Float;1;0
GAR_ABT_RECOMP_DNP.EAF.ABT_LTLG2_MW.Value;GAR_ABT_RECOMP_DNP.EAF.ABT_LTLG2_MW;Write;GAR_ABT_RECOMP_DNP.EAF.ABT_LTLG2_MW.Value;Float;1;0
GAR_ABT_RECOMP_DNP.EAF.ABT_LTLG2_MVAR.Value;GAR_ABT_RECOMP_DNP.EAF.ABT_LTLG2_MVAR;Write;GAR_ABT_RECOMP_DNP.EAF.ABT_LTLG2_MVAR.Value;Float;1;0
GAR_ABT_RECOMP_DNP.EAF.ABT_LTLG2_HZ.Value;GAR_ABT_RECOMP_DNP.EAF.ABT_LTLG2_HZ;Write;GAR_ABT_RECOMP_DNP.EAF.ABT_LTLG2_HZ.Value;Float;1;0
GAR_BGR_DNP.ANA.BAY_MM_MED1_FP.Value;GAR_BGR_DNP.ANA.BAY_MM_MED1_FP;Write;GAR_BGR_DNP.ANA.BAY_MM_MED1_FP.Value;Float;1;0
GAR_BGR_DNP.ANA.BAY_MM_MED1_HZ.Value;GAR_BGR_DNP.ANA.BAY_MM_MED1_HZ;Write;GAR_BGR_DNP.ANA.BAY_MM_MED1_HZ.Value;Float;1;0
GAR_BGR_DNP.ANA.BAY_MM_MED1_IA.Value;GAR_BGR_DNP.ANA.BAY_MM_MED1_IA;Write;GAR_BGR_DNP.ANA.BAY_MM_MED1_IA.Value;Float;1;0
GAR_BGR_DNP.ANA.BAY_MM_MED1_IB.Value;GAR_BGR_DNP.ANA.BAY_MM_MED1_IB;Write;GAR_BGR_DNP.ANA.BAY_MM_MED1_IB.Value;Float;1;0
GAR_BGR_DNP.ANA.BAY_MM_MED1_IC.Value;GAR_BGR_DNP.ANA.BAY_MM_MED1_IC;Write;GAR_BGR_DNP.ANA.BAY_MM_MED1_IC.Value;Float;1;0
GAR_BGR_DNP.ANA.BAY_MM_MED1_P.Value;GAR_BGR_DNP.ANA.BAY_MM_MED1_P;Write;GAR_BGR_DNP.ANA.BAY_MM_MED1_P.Value;Float;1;0
GAR_BGR_DNP.ANA.BAY_MM_MED1_Q.Value;GAR_BGR_DNP.ANA.BAY_MM_MED1_Q;Write;GAR_BGR_DNP.ANA.BAY_MM_MED1_Q.Value;Float;1;0
GAR_BGR_DNP.ANA.BAY_MM_MED1_VAB.Value;GAR_BGR_DNP.ANA.BAY_MM_MED1_VAB;Write;GAR_BGR_DNP.ANA.BAY_MM_MED1_VAB.Value;Float;1;0
GAR_BGR_DNP.ANA.BAY_MM_MED1_VBC.Value;GAR_BGR_DNP.ANA.BAY_MM_MED1_VBC;Write;GAR_BGR_DNP.ANA.BAY_MM_MED1_VBC.Value;Float;1;0
